Entry ID,Name,Technology,Section,Platform,RMC,Note,Target kind (process/web/folder/labview-dev/labview-epics/phoebus),"Command, URL, or folder path",Arguments (JSON or semicolon-separated),Working directory,Environment requirements,Owner/contact,Enabled (yes/no),Tested on host,Test result/date,Comments,IOC name,Host name,IOC type,GUI name,GUI type,EXE name,Phoebus resource URI/path,Phoebus app name,Phoebus use configured layout (yes/no)
L4-GUI-001,,,,,,,,,,,,,,,,,,,,,,,,,
L4-GUI-002,,,,,,,,,,,,,,,,,,,,,,,,,
L4-GUI-003,,,,,,,,,,,,,,,,,,,,,,,,,
L4-GUI-004,,,,,,,,,,,,,,,,,,,,,,,,,
L4-GUI-005,,,,,,,,,,,,,,,,,,,,,,,,,
L4-GUI-006,,,,,,,,,,,,,,,,,,,,,,,,,
L4-GUI-007,,,,,,,,,,,,,,,,,,,,,,,,,
L4-GUI-008,,,,,,,,,,,,,,,,,,,,,,,,,
L4-GUI-009,,,,,,,,,,,,,,,,,,,,,,,,,
L4-GUI-010,,,,,,,,,,,,,,,,,,,,,,,,,
L4-GUI-011,,,,,,,,,,,,,,,,,,,,,,,,,
L4-GUI-012,,,,,,,,,,,,,,,,,,,,,,,,,
L4-GUI-013,,,,,,,,,,,,,,,,,,,,,,,,,
L4-GUI-014,,,,,,,,,,,,,,,,,,,,,,,,,
L4-GUI-015,,,,,,,,,,,,,,,,,,,,,,,,,
L4-GUI-016,,,,,,,,,,,,,,,,,,,,,,,,,
L4-GUI-017,,,,,,,,,,,,,,,,,,,,,,,,,
L4-GUI-018,,,,,,,,,,,,,,,,,,,,,,,,,
L4-GUI-019,,,,,,,,,,,,,,,,,,,,,,,,,
L4-GUI-020,,,,,,,,,,,,,,,,,,,,,,,,,
L4-GUI-021,,,,,,,,,,,,,,,,,,,,,,,,,
L4-GUI-022,,,,,,,,,,,,,,,,,,,,,,,,,
L4-GUI-023,,,,,,,,,,,,,,,,,,,,,,,,,
L4-GUI-024,,,,,,,,,,,,,,,,,,,,,,,,,
L4-GUI-025,,,,,,,,,,,,,,,,,,,,,,,,,
L4-GUI-026,,,,,,,,,,,,,,,,,,,,,,,,,
L4-GUI-027,,,,,,,,,,,,,,,,,,,,,,,,,
L4-GUI-028,,,,,,,,,,,,,,,,,,,,,,,,,
L4-GUI-029,,,,,,,,,,,,,,,,,,,,,,,,,
L4-GUI-030,,,,,,,,,,,,,,,,,,,,,,,,,
L4-GUI-031,,,,,,,,,,,,,,,,,,,,,,,,,
L4-GUI-032,,,,,,,,,,,,,,,,,,,,,,,,,
L4-GUI-033,,,,,,,,,,,,,,,,,,,,,,,,,
L4-GUI-034,,,,,,,,,,,,,,,,,,,,,,,,,
L4-GUI-035,,,,,,,,,,,,,,,,,,,,,,,,,
L4-GUI-036,,,,,,,,,,,,,,,,,,,,,,,,,
L4-GUI-037,,,,,,,,,,,,,,,,,,,,,,,,,
L4-GUI-038,,,,,,,,,,,,,,,,,,,,,,,,,
L4-GUI-039,,,,,,,,,,,,,,,,,,,,,,,,,
L4-GUI-040,,,,,,,,,,,,,,,,,,,,,,,,,
